CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
24016,FRANCISCO DA CUNHA JUNQUEIRA DOUTOR,ANOS INICIAIS,FRANCISCOCUNHAJUNQUEIRA,RIBEIRAO PRETO,3.77,2017,URBANA,-47.82247925,-21.26561928
916754,PEDRO GERALDO COSTA DEPUTADO,ANOS INICIAIS,OGERALDOCOSTA,LESTE 2,3.76,2017,URBANA,-46.38973688,-23.54608894
414612,NOE RODRIGUES PADRE,ANOS INICIAIS,NOEROIGUESPAE,NORTE 1,3.74,2017,URBANA,-46.68674088,-23.46031952
4947,NEYDE APPARECIDA SOLLITTO PROFESSORA,ANOS INICIAIS,NEYDEAPPARECIDASOLLITTOA,SUL 1,3.73,2017,URBANA,-46.74604034,-23.62091064
4996,DAVINA AGUIAR DIAS PROFESSORA,ANOS INICIAIS,DAVINAAGUIARDIASA,SUL 2,3.73,2017,URBANA,-46.76688004,-23.67679977
8459,WALDOMIRO GUIMARAES PROFESSOR,ANOS INICIAIS,WALIROGUIMARAES,SANTO ANDRE,3.72,2017,URBANA,-46.50922394,-23.7135849
904302,AQUILINO RIBEIRO,ANOS INICIAIS,AQUILINORIBEIRO,LESTE 3,3.72,2017,URBANA,-46.40599823,-23.5625
8321,JOSE BRANCAGLIONE PROFESSOR,ANOS INICIAIS,JOSEBRANCAGLIONE,SANTO ANDRE,3.7,2017,URBANA,-46.50434113,-23.69695091
36869,VEIGA DE MIRANDA MINISTRO,ANOS INICIAIS,VEIGAMIRANDA,RIBEIRAO PRETO,3.7,2017,URBANA,-47.79135132,-21.15460014
921518,JOSE CAMILO DE ANDRADE,ANOS INICIAIS,JOSECAMILOANADE,SUZANO,3.7,2017,URBANA,-46.30723953,-23.66402054
41725,MARIA FERRAZ DE CAMPOS PROFA,ANOS INICIAIS,MARIAFERRAZCAMPOSA,LESTE 4,3.69,2017,URBANA,-46.4539,-23.5551
906300,EUCLIDES IGESCA,ANOS INICIAIS,EUCLIDESIGESCA,SUZANO,3.69,2017,URBANA,-46.33008957,-23.63348961
17322,JOAO SOLIDARIO PEDROSO PROF,ANOS INICIAIS,JOAOSOLIDARIOOSO,AMERICANA,3.68,2017,URBANA,-47.31570053,-22.72809982
922092,SALVADOR LIGABUE PROFESSOR,ANOS INICIAIS,SALVADORLIGABUE,NORTE 1,3.68,2017,URBANA,-46.71195984,-23.44869995
11642,ZENON CLEANTES DE MOURA PROFESSOR,ANOS INICIAIS,ZENONCLEANTESMOURA,SANTOS,3.67,2017,URBANA,-46.45289993,-23.88019943
40964,LEONOR RENDESI PROFESSORA,ANOS INICIAIS,LEONORRENDESIA,LESTE 1,3.67,2017,URBANA,-46.48899078,-23.49942017
915592,HUGO PENTEADO TEIXEIRA,ANOS INICIAIS,HUGONTEADOTEIXEIRA,CAMPINAS OESTE,3.67,2017,URBANA,-47.20042801,-22.95915413
33637,RUTH MAMEDE DE GODOY PROFA,ANOS INICIAIS,RUTHMAMEDEGODOYA,MARILIA,3.66,2017,RURAL,-49.97776413,-21.9962883
40629,MARIA MARQUES DE NORONHA PROFESSORA,ANOS INICIAIS,MARIAMARQUESNORONHAA,CARAPICUIBA,3.66,2017,URBANA,-46.85490036,-23.54019928
904004,MARIA APARECIDA SOARES DE LUCCA PROFESSORA,ANOS INICIAIS,MARIAAPARECIDASOARESLUCCAA,LIMEIRA,3.66,2017,URBANA,-47.37755203,-22.5835762
908289,MARIA TEREZA GUIMARAES DE ANGELO PROFA,ANOS INICIAIS,MARIATEREZAGUIMARAESANGELOA,ITU,3.65,2017,URBANA,-47.2774177,-23.21193524
297501,REPUBLICA DO PANAMA,ANOS INICIAIS,REPUBLIANAMA,SUL 2,3.64,2017,URBANA,-46.74655151,-23.64126968
297513,RAFAEL RODRIGUES FILHO PREFEITO,ANOS INICIAIS,RAFAELROIGUESFILHO,GUARULHOS SUL,3.64,2017,URBANA,-46.39794922,-23.45793915
906141,ASSIS JOSE AMBROSIO,ANOS INICIAIS,ASSISJOSEAMBROSIO,NORTE 2,3.64,2017,URBANA,-46.6715,-23.4577
37060,ROCCA DORDALL,ANOS INICIAIS,ROCCADORDALL,LESTE 3,3.63,2017,URBANA,-46.4182,-23.5536
37461,MESSIAS FREIRE PROFESSOR,ANOS INICIAIS,MESSIASFREIRE,SUL 1,3.63,2017,URBANA,-46.77576065,-23.64352036
41798,ERODICE PONTES DE QUEIROZ REV,ANOS INICIAIS,ERODICEPONTESQUEIROZ,SUL 3,3.62,2017,URBANA,-46.71469879,-23.78520012
908629,PAULO IDEVAR FERRAREZI SUPERVISOR,ANOS INICIAIS,PAULOIDEVARFERRAREZIERVISOR,CARAPICUIBA,3.62,2017,URBANA,-46.82447052,-23.52429008
46224,PEDRO MOREIRA MATOS PROF,ANOS INICIAIS,OMOREIRAMATOS,LESTE 2,3.61,2017,URBANA,-46.44845963,-23.49057007
