CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
18272,THOMAS ALVES DOUTOR,ANOS INICIAIS,THOMASALVES,CAMPINAS LESTE,3.83,2018,URBANA,-46.96717469,-22.87765552
267983,RECANTO VERDE SOL,ANOS INICIAIS,RECANTODESOL,LESTE 3,3.81,2018,URBANA,-46.42089081,-23.61352921
25434,LUIZ BRAGA PROF,ANOS INICIAIS,LUIZBRAGA,BAURU,3.8,2018,URBANA,-49.05335999,-22.35153961
566020,PARQUE DOROTEIA,ANOS INICIAIS,PARQUEDOROTEIA,SUL 1,3.8,2018,URBANA,-46.64294815,-23.7027092
924933,GLORIA APARECIDA ROSA VIANA PROFESSORA,ANOS INICIAIS,GLORIAAPARECIDAROSAVIANAA,CAMPINAS OESTE,3.79,2018,URBANA,-47.15628052,-22.93489075
41610,LAMIA DEL CISTIA,ANOS INICIAIS,LAMIADELCISTIA,SANTOS,3.78,2018,URBANA,-46.27909851,-23.95240021
11691,MARIA HELENA DUARTE CAETANO PROFESSORA,ANOS INICIAIS,MARIAHELENADUARTECAETANOA,SANTOS,3.76,2018,URBANA,-46.47365952,-23.89123917
283885,HELIO HELENE,ANOS INICIAIS,HELIOHELENE,LESTE 2,3.76,2018,URBANA,-46.45808029,-23.48442078
901362,CORALINA RIBEIRO DOS SANTOS CALDEIRA DONA,ANOS INICIAIS,CORALINARIBEIRODOSSANTOSCALDEIRA,SANTOS,3.74,2018,URBANA,-46.24663162,-23.96990013
901775,JOSE CAVALCANTI SILVA DESEMBARGADOR,ANOS INICIAIS,JOSECAVALCANTISILVA,SUL 1,3.72,2018,URBANA,-46.66175079,-23.68180084
911537,DILSON FUNARO MINISTRO,ANOS INICIAIS,DILSONFUNARO,NORTE 2,3.72,2018,URBANA,-46.6534,-23.4557
8321,JOSE BRANCAGLIONE PROFESSOR,ANOS INICIAIS,JOSEBRANCAGLIONE,SANTO ANDRE,3.71,2018,URBANA,-46.50434113,-23.69695091
430705,JARDIM ICARAI,ANOS INICIAIS,JARDIMICARAI,CAMPINAS OESTE,3.71,2018,URBANA,-47.07909012,-22.95396042
32438,JOAO PEREZ SANTOS,ANOS INICIAIS,JOAOREZSANTOS,TUPA,3.7,2018,URBANA,-50.91161874,-22.53223594
44453,MARIO ARMINANTE PROF,ANOS INICIAIS,MARIOARMINANTE,SUL 3,3.7,2018,URBANA,-46.73249817,-23.79170036
6440,OSWALDO SAMPAIO ALVES,ANOS INICIAIS,OSWALDOSAMPAIOALVES,GUARULHOS SUL,3.68,2018,URBANA,-46.42752075,-23.43811035
8369,JOAO BAPTISTA MARIGO MARTINS,ANOS INICIAIS,JOAOBAPTISTAMARIGOMARTINS,SANTO ANDRE,3.66,2018,URBANA,-46.49454117,-23.74233055
41002,RONALDO GARIBALDI PERETTI PROFESSOR,ANOS INICIAIS,RONALDOGARIBALDIRETTI,SUL 2,3.65,2018,URBANA,-46.78865814,-23.65778923
49657,JOAO MARINGONI,ANOS INICIAIS,JOAOMARINGONI,BAURU,3.64,2018,URBANA,-49.05023603,-22.30467619
922092,SALVADOR LIGABUE PROFESSOR,ANOS INICIAIS,SALVADORLIGABUE,NORTE 1,3.63,2018,URBANA,-46.71195984,-23.44869995
6993,ROBERTO BIANCHI,ANOS INICIAIS,ROBERTOBIANCHI,SUZANO,3.61,2018,URBANA,-46.29556274,-23.62208939
904302,AQUILINO RIBEIRO,ANOS INICIAIS,AQUILINORIBEIRO,LESTE 3,3.6,2018,URBANA,-46.40599823,-23.5625
40629,MARIA MARQUES DE NORONHA PROFESSORA,ANOS INICIAIS,MARIAMARQUESNORONHAA,CARAPICUIBA,3.58,2018,URBANA,-46.85490036,-23.54019928
19240,OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR,ANOS INICIAIS,OSCARWALIROVASCONLOS,SAO JOAO DA BOA VISTA,3.57,2018,URBANA,-46.51449966,-21.54140091
9672,JOSUE MATTOS DE AGUIAR,ANOS INICIAIS,JOSUEMATTOSAGUIAR,CARAPICUIBA,3.54,2018,URBANA,-46.83849335,-23.5147953
48215,LEOPOLDO LEME VERNECK,ANOS INICIAIS,LEOPOLDOLEMENECK,APIAI,3.54,2018,RURAL,-49.04658127,-24.37199974
784,ANESIA SINCORA PROFESSORA,ANOS INICIAIS,ANESIASINCORAA,CENTRO,3.52,2018,URBANA,-46.60467911,-23.51567078
902627,CESAR DONATO CALABREZ,ANOS INICIAIS,CESARTOCALABREZ,LESTE 3,3.52,2018,URBANA,-46.403759,-23.56697083
47557,OCTACILIO DE OLIVEIRA PADRE,ANOS INICIAIS,OCTACILIOOLIVEIRAPAE,LINS,3.51,2018,URBANA,-49.77149963,-21.6576004
561411,JARDIM MARISA,ANOS INICIAIS,JARDIMMARISA,CAMPINAS OESTE,3.49,2018,URBANA,-47.1145401,-23.03750038
915592,HUGO PENTEADO TEIXEIRA,ANOS INICIAIS,HUGONTEADOTEIXEIRA,CAMPINAS OESTE,3.49,2018,URBANA,-47.20042801,-22.95915413
5484,JOAO BATISTA DE CARVALHO MONSENHOR,ANOS INICIAIS,JOAOBATISTACARVALHOMONHOR,SUL 2,3.39,2018,URBANA,-46.75265121,-23.67270088
4996,DAVINA AGUIAR DIAS PROFESSORA,ANOS INICIAIS,DAVINAAGUIARDIASA,SUL 2,3.38,2018,URBANA,-46.76688004,-23.67679977
37461,MESSIAS FREIRE PROFESSOR,ANOS INICIAIS,MESSIASFREIRE,SUL 1,3.36,2018,URBANA,-46.77576065,-23.64352036
921087,JACQUES YVES COUSTEAU COMANDANTE,ANOS INICIAIS,JACQUESYVESCOUSTEAUCOMANDANTE,SUZANO,3.36,2018,URBANA,-46.3187,-23.4955
13602,EUCLIDES BUENO MIRAGAIA,ANOS INICIAIS,EUCLIDESBUENOMIRAGAIA,SAO JOSE DOS CAMPOS,3.28,2018,URBANA,-45.88809967,-23.18630028
576499,JARDIM MONTE CARLO,ANOS INICIAIS,JARDIMMONTECARLO,RIBEIRAO PRETO,3.27,2018,URBANA,-47.85663986,-21.20384979
46224,PEDRO MOREIRA MATOS PROF,ANOS INICIAIS,OMOREIRAMATOS,LESTE 2,3.22,2018,URBANA,-46.44845963,-23.49057007
39536,JULIO PIGNATARI DOUTOR,ANOS INICIAIS,JULIOPIGNATARI,SANTO ANDRE,3.07,2018,URBANA,-46.51036835,-23.6992054
26293,JANDIRA DE MORAES NUNO PROFESSORA,ANOS INICIAIS,JANDIRAMORAESNUNOA,LINS,3.01,2018,URBANA,-49.44266129,-21.58641052
34952,RAPOSO TAVARES,ANOS INICIAIS,RAPOSOTAVARES,MIRACATU,3.01,2018,URBANA,-47.13670907,-24.29485701
10546,JARDIM SANTA ANGELA,ANOS INICIAIS,JARDIMSANTAANGELA,CARAPICUIBA,2.94,2018,URBANA,-46.82003403,-23.58624649
11496,NOSSA SENHORA DOS NAVEGANTES,ANOS INICIAIS,NOSSAHORADOSNAVEGANTES,SANTOS,2.91,2018,URBANA,-46.30207062,-23.99670029
432842,ANTONIO CARLOS LEHMAN,ANOS INICIAIS,ANTONIOCARLOSLEHMAN,CAMPINAS OESTE,2.87,2018,URBANA,-47.19713974,-22.96608925
11447,JACINTO DO AMARAL NARDUCCI PROF,ANOS INICIAIS,JACINTOAMARALNARDUCCI,SANTOS,2.8,2018,URBANA,-46.26076889,-23.97960091
11551,PHILOMENA CARDOSO DE OLIVEIRA PROFESSORA,ANOS INICIAIS,PHILOMENACARDOSOOLIVEIRAA,SANTOS,2.73,2018,URBANA,-46.30459976,-23.94669914
36444,GENESIO DE ALMEIDA MOURA DOUTOR,ANOS INICIAIS,GENESIOALMEIDAMOURA,NORTE 1,2.72,2018,URBANA,-46.6967,-23.447
49992,ARACY LEITE PEREIRA LOPES DONA,ANOS INICIAIS,ARACYLEITEREIRALOS,SAO CARLOS,2.67,2018,URBANA,-47.89596176,-22.04682922
566780,JARDIM DR PAULO GOMES ROMEO,ANOS INICIAIS,JARDIMPAULOGOMESROMEO,RIBEIRAO PRETO,2.66,2018,URBANA,-47.84617996,-21.14603996
901374,LUIZ BENEDITINO FERREIRA,ANOS INICIAIS,LUIZBENEDITINOFERREIRA,SANTOS,2.52,2018,URBANA,-46.28403854,-23.97579193
