CODIGO_CIE,ESCOLA,NIVEL_ENSINO,PRIMARY_KEY,SECONDARY_KEY,IDESP,ANO,ZONA,LONGITUDE,LATITUDE
26136,ALFREDO PUJOL DR,ENSINO MEDIO,ALFREDOPUJOL,BAURU,7.37,2017,URBANA,-49.50374985,-22.00691986
25094,PEDRO MASCARI,ENSINO MEDIO,OMASCARI,TAQUARITINGA,6.93,2017,URBANA,-48.6891,-21.5183
915075,BAIRRO BOA VISTA INTERVALES,ENSINO MEDIO,BAIRROBOAVISTAINTERVALES,ITAPEVA,5.67,2017,RURAL,-48.42282104,-24.22649956
26487,MARIA ANGELICA MARCONDES PROFA,ENSINO MEDIO,MARIAANGELICAMARCONDESA,BAURU,5.54,2017,URBANA,-49.45640182,-21.99580002
20734,ADEMAR VIEIRA PISCO,ENSINO MEDIO,ADEMARVIEIRAPISCO,PIRACICABA,5.51,2017,URBANA,-48.16059875,-22.56777
49712,DALVA VIEIRA ITAVO PROFESSORA,ENSINO MEDIO,DALVAVIEIRAITAVOA,BARRETOS,5.5,2017,URBANA,-48.88911057,-20.74173927
921579,FRANCA FRANCHI PROFA,ENSINO MEDIO,FRANCAFRANCHIA,MOGI MIRIM,5.44,2017,RURAL,-46.63121033,-22.59693909
21763,JOSE LEVY CORONEL,ENSINO MEDIO,JOSELEVY,LIMEIRA,5.33,2017,URBANA,-47.45817184,-22.48159027
28915,JAMIL KHAUAN PROFESSOR,ENSINO MEDIO,JAMILKHAUAN,SAO JOSE DO RIO PRETO,5.18,2017,URBANA,-49.36095047,-20.81509972
18569,DJALMA OCTAVIANO PROFESSOR,ENSINO MEDIO,DJALMAOCTAVIANO,CAMPINAS LESTE,5.17,2017,URBANA,-47.10441589,-22.91923332
35361,MARIA DOLORES VERISSIMO MADUREIRA PROFESSORA,ENSINO MEDIO,MARIADOLORESISSIMOMADUREIRAA,SAO JOSE DOS CAMPOS,5.16,2017,URBANA,-45.8992639,-23.2245825
26736,GABRIEL HERNANDEZ,ENSINO MEDIO,GABRIELHERNANDEZ,CATANDUVA,5.14,2017,URBANA,-48.78564072,-21.19095993
28782,LEME CARDEAL,ENSINO MEDIO,LEMECARDEAL,SAO JOSE DO RIO PRETO,5.1,2017,URBANA,-49.3848381,-20.81579018
25100,ANTONIO COMAR VEREADOR,ENSINO MEDIO,ANTONIOCOMAR,TAQUARITINGA,5.09,2017,URBANA,-48.39357376,-21.52144814
913662,ROMILDA LAZARA PILLON DOS SANTOS PROFESSORA,ENSINO MEDIO,ROMILDALAZARAPILLONDOSSANTOSA,MIRANTE DO PARANAPANEMA,5.06,2017,RURAL,-52.31266022,-22.31339073
13523,ILZA IRMA MOELLER COPPIO PROFESSORA,ENSINO MEDIO,ILZAMOELLERCOPPIOA,SAO JOSE DOS CAMPOS,5,2017,URBANA,-45.90570831,-23.15654945
22573,ADELIA FRASCINO DONA,ENSINO MEDIO,ADELIAFRASCINO,SERTAOZINHO,5,2017,URBANA,-48.11822891,-20.95815341
30697,JOSE ANTONIO DE CASTILHO,ENSINO MEDIO,JOSEANTONIOCASTILHO,VOTUPORANGA,5,2017,URBANA,-50.3411,-20.7621
14965,ATILIO INNOCENTI PROF,ENSINO MEDIO,ATILIOINNOCENTI,BOTUCATU,4.95,2017,URBANA,-48.57217026,-22.72612381
3748,ARCY MAJOR,ENSINO MEDIO,ARCYMAJOR,CENTRO SUL,4.92,2017,URBANA,-46.63562012,-23.57869911
31264,9 DE JULHO,ENSINO MEDIO,9JULHO,ADAMANTINA,4.91,2017,URBANA,-51.52502105,-21.48951565
21180,SAMUEL DE CASTRO NEVES DOUTOR,ENSINO MEDIO,SAMUELCASTRONEVES,PIRACICABA,4.9,2017,URBANA,-47.73817825,-22.62155914
42328,NELSON DO NASCIMENTO MONTEIRO PROFESSOR,ENSINO MEDIO,NELSONNASCIMENTOMONTEIRO,SAO JOSE DOS CAMPOS,4.9,2017,URBANA,-45.91719055,-23.24752998
578587,PROFESSORA ORNELLA RITA FERRARI SACILOTTO,ENSINO MEDIO,AORNELLARITAFERRARISACILOTTO,AMERICANA,4.84,2017,URBANA,-47.34872055,-22.78125954
3669,ALEXANDRE VON HUMBOLDT,ENSINO MEDIO,ALEXANEVONHUMBOLDT,CENTRO OESTE,4.82,2017,URBANA,-46.71147919,-23.50737
14291,NEWTON CAMARA LEAL BARROS,ENSINO MEDIO,NEWTONCAMARALEALBARROS,TAUBATE,4.82,2017,URBANA,-45.52880096,-22.99839973
462378,SUELY MARIA CACAO AMBIEL BATISTA PROFESSORA,ENSINO MEDIO,SUELYMARIACACAOAMBIELBATISTAA,CAPIVARI,4.82,2017,URBANA,-47.23289871,-23.10639954
25240,EDUARDO VELHO FILHO PROF,ENSINO MEDIO,EDUARDOVELHOFILHO,BAURU,4.81,2017,URBANA,-49.06740189,-22.3125
26682,NICOLA MASTROCOLA,ENSINO MEDIO,NICOLAMASTROCOLA,CATANDUVA,4.77,2017,URBANA,-48.97050095,-21.12350082
496376,ANA FRANCO DA ROCHA BRANDO PROFA,ENSINO MEDIO,ANAFRANCOROCHABRANDOA,JAU,4.77,2017,URBANA,-48.53890536,-22.30165533
12580,EDGARD DE SOUZA DR,ENSINO MEDIO,EDGARDSOUZA,GUARATINGUETA,4.76,2017,URBANA,-45.25899887,-22.86800003
15702,ANTONIO BERRETA PROF,ENSINO MEDIO,ANTONIOBERRETA,ITU,4.75,2017,URBANA,-47.30080032,-23.27079964
24855,GASTAO LIBERAL PINTO DOM,ENSINO MEDIO,GASTAOLIBERALPINTO,TAQUARITINGA,4.74,2017,URBANA,-49.07141113,-21.62142944
27133,FRANCISCO MOLINA MOLINA ESCOLA ESTADUAL,ENSINO MEDIO,FRANCISCOMOLINAMOLINAESCOLAESTADUAL,JALES,4.72,2017,URBANA,-50.68865967,-20.24444008
42894,CONDE DO PINHAL,ENSINO MEDIO,CONINHAL,SAO CARLOS,4.72,2017,URBANA,-47.904,-21.9971
922353,HENRIQUE NICOPELLI MONSENHOR,ENSINO MEDIO,HENRIQUENICOLLIMONHOR,AMERICANA,4.72,2017,URBANA,-47.36888885,-22.74533081
462792,BAIRRO FRANCISCO CASTILHO,ENSINO MEDIO,BAIRROFRANCISCOCASTILHO,RIBEIRAO PRETO,4.71,2017,URBANA,-47.75738907,-21.33128929
24867,RIZZIERI POLETTI,ENSINO MEDIO,RIZZIERIPOLETTI,TAQUARITINGA,4.67,2017,URBANA,-48.63280106,-21.32242966
8126,PAULO VI PAPA,ENSINO MEDIO,PAULOVIPAPA,SANTO ANDRE,4.66,2017,URBANA,-46.5264,-23.6911
13365,RYOITI YASSUDA,ENSINO MEDIO,RYOITIYASSUDA,PINDAMONHANGABA,4.66,2017,URBANA,-45.45875168,-22.93587875
28794,AMIRA HOMSI CHALELLA PROFESSORA,ENSINO MEDIO,AMIRAHOICHALELLAA,SAO JOSE DO RIO PRETO,4.66,2017,URBANA,-49.37702858,-20.83193857
919159,ATTILIO DEXTRO PROF,ENSINO MEDIO,ATTILIODEXTRO,AMERICANA,4.65,2017,URBANA,-47.36513901,-22.76391029
920435,BAIRRO SAO MIGUEL,ENSINO MEDIO,BAIRROSAOMIGUEL,GUARATINGUETA,4.65,2017,RURAL,-44.93040085,-22.84399986
23589,SALVADOR GOGLIANO JUNIOR PROF,ENSINO MEDIO,SALVADORGOGLIANO,TAQUARITINGA,4.63,2017,URBANA,-48.63031006,-21.17602921
11897,ANTONIO ABLAS FILHO DOUTOR,ENSINO MEDIO,ANTONIOABLASFILHO,SANTOS,4.62,2017,URBANA,-46.31169891,-23.98049927
29178,JARDIM RIVIERA,ENSINO MEDIO,JARDIMRIVIERA,SANTO ANDRE,4.61,2017,URBANA,-46.49403,-23.74165916
17231,EMILIO ROMI COMENDADOR,ENSINO MEDIO,EMILIOROMICOMENDADOR,AMERICANA,4.6,2017,URBANA,-47.42559814,-22.75460052
497381,JARDIM BUSCARDI,ENSINO MEDIO,JARDIMBUSCARDI,ARARAQUARA,4.6,2017,URBANA,-48.35131836,-21.6137104
17361,FRANCISCO TOZZI DR,ENSINO MEDIO,FRANCISCOTOZZI,MOGI MIRIM,4.56,2017,URBANA,-46.62406158,-22.47868919
35920,LONGINO VASTBINDER PADRE,ENSINO MEDIO,LONGINOVASTBINDERPAE,MOGI MIRIM,4.55,2017,URBANA,-46.9393959,-22.38398933
42161,CARMEN MIRANDA,ENSINO MEDIO,CARMENMIRANDA,SAO VICENTE,4.55,2017,URBANA,-47.00318146,-24.31484032
17224,JOAO XXIII,ENSINO MEDIO,JOAOXXIII,AMERICANA,4.54,2017,URBANA,-47.32849884,-22.75040054
29713,LUIZ GAMA,ENSINO MEDIO,LUIZGAMA,ARACATUBA,4.53,2017,URBANA,-50.44155884,-21.20399094
926036,BAIRRO TURVO DOS ALMEIDAS,ENSINO MEDIO,BAIRROTURVODOSALMEIDAS,ITAPEVA,4.53,2017,RURAL,-48.20521927,-23.85849953
13869,JOSE MARIOTTO FERREIRA MAJOR AVIADOR,ENSINO MEDIO,JOSEMARIOTTOFERREIRAMAJORAVIADOR,SAO JOSE DOS CAMPOS,4.51,2017,URBANA,-45.88159943,-23.20630074
41452,ANEZIA AMORIM MARTINS PROFA,ENSINO MEDIO,ANEZIAAMORIMMARTINSA,APIAI,4.51,2017,RURAL,-48.78811073,-24.64505373
25525,JOSE APARECIDO GUEDES DE AZEVEDO PROF,ENSINO MEDIO,JOSEAPARECIDOGUEDESAZEVEDO,BAURU,4.5,2017,URBANA,-49.08710098,-22.31699944
45500,CLARICE COSTA CONTI PROFA,ENSINO MEDIO,CLARICECOSTACONTIA,AMERICANA,4.5,2017,URBANA,-47.29960921,-22.70237628
4510,TEOTONIO ALVES PEREIRA,ENSINO MEDIO,TEOTONIOALVESREIRA,CENTRO SUL,4.47,2017,URBANA,-46.6190605,-23.5911863
22559,DOLORES MARTINS DE CASTRO PROFESSORA,ENSINO MEDIO,DOLORESMARTINSCASTROA,SERTAOZINHO,4.47,2017,URBANA,-47.9891,-20.8958
31860,MARIA LUIZA FORMOZINHO RIBEIRO PROFESSORA,ENSINO MEDIO,MARIALUIZAFORMOZINHORIBEIROA,PRESIDENTE PRUDENTE,4.47,2017,URBANA,-51.40019989,-22.12229919
33145,CAROLINA FRANCINI BURALI DONA,ENSINO MEDIO,CAROLINAFRANCINIBURALI,ASSIS,4.44,2017,URBANA,-50.41159821,-22.66810036
9180,AMADEU OLIVERIO PROFESSOR,ENSINO MEDIO,AMADEUOLIIO,SAO BERNARDO DO CAMPO,4.43,2017,URBANA,-46.56203842,-23.66400909
30673,CICERO CASTILHO CUNHA,ENSINO MEDIO,CICEROCASTILHOCUNHA,ANDRADINA,4.43,2017,URBANA,-50.92919922,-20.69120026
909385,IVETE SALA DE QUEIROZ PROFESSORA,ENSINO MEDIO,IVETESALAQUEIROZA,LIMEIRA,4.43,2017,URBANA,-47.17496872,-22.63989067
909609,LEONILDA ROSSI BARRIQUELO PROFESSORA,ENSINO MEDIO,LEONILDAROSSIBARRIQUELOA,SUMARE,4.43,2017,URBANA,-47.20190048,-22.81949997
26529,NESTOR SAMPAIO BITTENCOURT DOUTOR,ENSINO MEDIO,NESTORSAMPAIOBITTENCOURT,CATANDUVA,4.4,2017,URBANA,-48.96680069,-21.14249992
18326,CULTO A CIENCIA,ENSINO MEDIO,CULTOACIENCIA,CAMPINAS LESTE,4.39,2017,URBANA,-47.06880951,-22.90084076
25159,FRANCISCO SILVEIRA COELHO PROF,ENSINO MEDIO,FRANCISCOSILVEIRACOELHO,TAQUARITINGA,4.39,2017,URBANA,-48.5037,-21.4125
29889,JORGE CORREA PROF,ENSINO MEDIO,JORGECORREA,ARACATUBA,4.38,2017,URBANA,-50.43170166,-21.21158981
1797,BRISABELLA ALMEIDA NOBRE PROFESSORA,ENSINO MEDIO,BRISABELLAALMEIDANOBREA,CENTRO SUL,4.35,2017,URBANA,-46.56074905,-23.60597992
462342,PRISCILA FERNANDES DA ROCHA,ENSINO MEDIO,PRISCILAFERNANDESROCHA,SUMARE,4.34,2017,URBANA,-47.23720169,-22.88850021
903197,ORESTES ORIS DE ALBUQUERQUE PROF,ENSINO MEDIO,ORESTESORISALBUQUERQUE,ITAPETININGA,4.33,2017,URBANA,-48.4099,-23.4991
1910,CLEMENTE QUAGLIO PROFESSOR,ENSINO MEDIO,CLEMENTEQUAGLIO,LESTE 5,4.32,2017,URBANA,-46.57976151,-23.57258034
462330,JOAQUIM PINTO MACHADO JUNIOR PROFESSOR MACHADINHO,ENSINO MEDIO,JOAQUIMPINTOMACHADOMACHADINHO,ARARAQUARA,4.31,2017,URBANA,-48.14220047,-21.81940079
924441,BAIRRO DO PARAITINGA,ENSINO MEDIO,BAIRROPARAITINGA,GUARATINGUETA,4.3,2017,RURAL,-45.04248047,-22.99618912
8874,ROBERT KENNEDY SENADOR,ENSINO MEDIO,ROBERTKENNEDY,SAO BERNARDO DO CAMPO,4.29,2017,URBANA,-46.56819916,-23.72156334
27054,ADELINO BERTANI,ENSINO MEDIO,ADELINOBERTANI,JALES,4.29,2017,URBANA,-50.6219902,-19.9652977
13936,FRANCISCO PEREIRA DA SILVA PROFESSOR,ENSINO MEDIO,FRANCISCOREIRASILVA,SAO JOSE DOS CAMPOS,4.28,2017,URBANA,-45.85366813,-23.18348763
903814,ARIOSTO RIBEIRO PERSICANO PROF,ENSINO MEDIO,ARIOSTORIBEIRORSICANO,MOGI MIRIM,4.28,2017,RURAL,-46.81948853,-22.63431931
6373,ANTONIO VIANA DE SOUZA PROFESSOR,ENSINO MEDIO,ANTONIOVIANASOUZA,GUARULHOS SUL,4.27,2017,URBANA,-46.41152842,-23.44470963
21696,MARCIANO DE TOLEDO PIZA PROFESSOR,ENSINO MEDIO,MARCIANOTOLEDOPIZA,LIMEIRA,4.27,2017,URBANA,-47.5542984,-22.41150093
21076,SUD MENNUCCI,ENSINO MEDIO,SUDMENNUCCI,PIRACICABA,4.26,2017,URBANA,-47.64459991,-22.72907448
